AP,F1,Precision,Recall,Accuracy,Threshold,Avg. Time,Cache Type,Model,Key,Sampling
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.14,0.07932345986366272,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6779661016949152,0.5128205128205128,1.0,0.525,0.14,0.0006400513648986817,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.68259385665529,0.5181347150259067,1.0,0.535,0.14,0.0010701632499694825,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.15,0.07932345867156983,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6802721088435374,0.5154639175257731,1.0,0.53,0.15,0.0006410169601440429,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.68259385665529,0.5181347150259067,1.0,0.535,0.15,0.0010773324966430664,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.16,0.07957224011421203,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.68259385665529,0.5181347150259067,1.0,0.535,0.16,0.0006418311595916748,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6872852233676976,0.5235602094240838,1.0,0.545,0.16,0.001064831018447876,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.17,0.07982725501060486,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.68259385665529,0.5181347150259067,1.0,0.535,0.17,0.0006350052356719971,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6896551724137931,0.5263157894736842,1.0,0.55,0.17,0.0010653293132781981,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.18,0.07928872704505921,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.68259385665529,0.5181347150259067,1.0,0.535,0.18,0.0006385564804077149,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6896551724137931,0.5263157894736842,1.0,0.55,0.18,0.001062110662460327,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.19,0.07953932285308837,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.68259385665529,0.5181347150259067,1.0,0.535,0.19,0.0006360983848571777,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6896551724137931,0.5263157894736842,1.0,0.55,0.19,0.0010621392726898194,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.2,0.07933174014091492,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6872852233676976,0.5235602094240838,1.0,0.545,0.2,0.000637657642364502,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6896551724137931,0.5263157894736842,1.0,0.55,0.2,0.0010657656192779542,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.21,0.0791741955280304,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6872852233676976,0.5235602094240838,1.0,0.545,0.21,0.0006343865394592285,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6896551724137931,0.5263157894736842,1.0,0.55,0.21,0.0010626530647277832,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.22,0.07964734554290771,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6872852233676976,0.5235602094240838,1.0,0.545,0.22,0.0006346583366394043,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6944444444444444,0.5319148936170213,1.0,0.56,0.22,0.0010648250579833984,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.23,0.0792007577419281,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6872852233676976,0.5235602094240838,1.0,0.545,0.23,0.0006360554695129394,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6944444444444444,0.5319148936170213,1.0,0.56,0.23,0.0010628104209899902,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.24,0.07967696666717529,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6872852233676976,0.5235602094240838,1.0,0.545,0.24,0.0006352841854095459,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6968641114982579,0.5347593582887701,1.0,0.565,0.24,0.0010668540000915527,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.25,0.07923850178718567,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6872852233676976,0.5235602094240838,1.0,0.545,0.25,0.0006359457969665527,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6968641114982579,0.5347593582887701,1.0,0.565,0.25,0.0010627448558807374,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.26,0.07922943830490112,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6896551724137931,0.5263157894736842,1.0,0.55,0.26,0.0006363105773925782,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6968641114982579,0.5347593582887701,1.0,0.565,0.26,0.001063833236694336,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.27,0.07966347813606262,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6896551724137931,0.5263157894736842,1.0,0.55,0.27,0.0006366133689880371,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6968641114982579,0.5347593582887701,1.0,0.565,0.27,0.0010647928714752196,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.28,0.0791864538192749,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6896551724137931,0.5263157894736842,1.0,0.55,0.28,0.0006331992149353027,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6968641114982579,0.5347593582887701,1.0,0.565,0.28,0.001064896583557129,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.29,0.08004653453826904,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6896551724137931,0.5263157894736842,1.0,0.55,0.29,0.00063645601272583,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6993006993006993,0.5376344086021505,1.0,0.57,0.29,0.001063140630722046,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.3,0.07968418836593628,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6896551724137931,0.5263157894736842,1.0,0.55,0.3,0.000639714002609253,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6993006993006993,0.5376344086021505,1.0,0.57,0.3,0.0010683953762054444,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.31,0.07933998107910156,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6896551724137931,0.5263157894736842,1.0,0.55,0.31,0.0006393337249755859,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.7017543859649124,0.5405405405405406,1.0,0.575,0.31,0.0010639739036560059,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6688963210702341,0.5025125628140703,1.0,0.505,0.32,0.0797993290424347,llama2,llama2,---,"[0 1]:[100 100], Total:200"
